Country,Year,Production,Type
Albania,2021/22,0,Robusta
Albania,2022/23,0,Robusta
Albania,2023/24,0,Robusta
Albania,2024/25,0,Robusta
Albania,2025/26,0,Robusta
Algeria,2021/22,0,Robusta
Algeria,2022/23,0,Robusta
Algeria,2023/24,0,Robusta
Algeria,2024/25,0,Robusta
Algeria,2025/26,0,Robusta
Angola,2021/22,30,Robusta
Angola,2022/23,20,Robusta
Angola,2023/24,30,Robusta
Angola,2024/25,45,Robusta
Angola,2025/26,50,Robusta
Argentina,2021/22,0,Robusta
Argentina,2022/23,0,Robusta
Argentina,2023/24,0,Robusta
Argentina,2024/25,0,Robusta
Argentina,2025/26,0,Robusta
Armenia,2021/22,0,Robusta
Armenia,2022/23,0,Robusta
Armenia,2023/24,0,Robusta
Armenia,2024/25,0,Robusta
Armenia,2025/26,0,Robusta
Australia,2021/22,0,Robusta
Australia,2022/23,0,Robusta
Australia,2023/24,0,Robusta
Australia,2024/25,0,Robusta
Australia,2025/26,0,Robusta
Benin,2021/22,0,Robusta
Benin,2022/23,0,Robusta
Benin,2023/24,0,Robusta
Benin,2024/25,0,Robusta
Benin,2025/26,0,Robusta
Bolivia,2021/22,0,Robusta
Bolivia,2022/23,0,Robusta
Bolivia,2023/24,0,Robusta
Bolivia,2024/25,0,Robusta
Bolivia,2025/26,0,Robusta
Bosnia and Herzegovina,2021/22,0,Robusta
Bosnia and Herzegovina,2022/23,0,Robusta
Bosnia and Herzegovina,2023/24,0,Robusta
Bosnia and Herzegovina,2024/25,0,Robusta
Bosnia and Herzegovina,2025/26,0,Robusta
Brazil,2021/22,21700,Robusta
Brazil,2022/23,22800,Robusta
Brazil,2023/24,21400,Robusta
Brazil,2024/25,21000,Robusta
Brazil,2025/26,25000,Robusta
Burundi,2021/22,0,Robusta
Burundi,2022/23,0,Robusta
Burundi,2023/24,0,Robusta
Burundi,2024/25,0,Robusta
Burundi,2025/26,0,Robusta
Cameroon,2021/22,250,Robusta
Cameroon,2022/23,220,Robusta
Cameroon,2023/24,190,Robusta
Cameroon,2024/25,180,Robusta
Cameroon,2025/26,200,Robusta
Canada,2021/22,0,Robusta
Canada,2022/23,0,Robusta
Canada,2023/24,0,Robusta
Canada,2024/25,0,Robusta
Canada,2025/26,0,Robusta
Central African Republic,2021/22,0,Robusta
Central African Republic,2022/23,0,Robusta
Central African Republic,2023/24,0,Robusta
Central African Republic,2024/25,0,Robusta
Central African Republic,2025/26,0,Robusta
Chile,2021/22,0,Robusta
Chile,2022/23,0,Robusta
Chile,2023/24,0,Robusta
Chile,2024/25,0,Robusta
Chile,2025/26,0,Robusta
China,2021/22,0,Robusta
China,2022/23,0,Robusta
China,2023/24,0,Robusta
China,2024/25,0,Robusta
China,2025/26,0,Robusta
Colombia,2021/22,0,Robusta
Colombia,2022/23,0,Robusta
Colombia,2023/24,0,Robusta
Colombia,2024/25,0,Robusta
Colombia,2025/26,0,Robusta
Congo (Brazzaville),2021/22,0,Robusta
Congo (Brazzaville),2022/23,0,Robusta
Congo (Brazzaville),2023/24,0,Robusta
Congo (Brazzaville),2024/25,0,Robusta
Congo (Brazzaville),2025/26,0,Robusta
Congo (Kinshasa),2021/22,200,Robusta
Congo (Kinshasa),2022/23,180,Robusta
Congo (Kinshasa),2023/24,150,Robusta
Congo (Kinshasa),2024/25,145,Robusta
Congo (Kinshasa),2025/26,150,Robusta
Costa Rica,2021/22,0,Robusta
Costa Rica,2022/23,0,Robusta
